user_id,bio,age,gender,country,state,city,interests,connections
1,"Founder/CEO, Gopaddi.",37,male,Nigeria,Lagos,Ikeja,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Theater and Performing Arts', 'Film and Documentary', 'Cultural Festivals', 'Art Exhibitions', 'Craftsmanship', 'Startup Founders', 'Small Business Owners', 'Investment and Venture Capital', 'Business Strategy and Management', 'Marketing and Sales', 'E-commerce', 'Business Networking', 'Leadership and Mentoring', 'Movies and TV Shows', 'Music and Concerts', 'Theater and Performing Arts', 'Comedy', 'Celebrity News and Gossip', 'Anime and Manga', 'Podcasts', 'Fan Clubs (e.g. specific bands actors)', 'Skincare and Makeup', 'Fashion Trends', 'Personal Styling', 'Beauty Tutorials', 'Sustainable Fashion', 'Haircare', 'Nail Art', 'Fashion Design', 'Independent Filmmaking', 'Screenwriting', 'Animation and VFX', 'Documentary Filmmaking', 'Video Editing', 'Cinematography', 'Media Critique and Analysis', 'Podcast Production', 'Stock Market', 'Cryptocurrency', 'Real Estate Investment', 'Personal Finance Management', 'Retirement Planning', 'Budgeting and Saving', 'Financial Independence', 'Investment Strategies', 'Gourmet Cooking', 'Baking', 'Vegan and Vegetarian', 'Wine and Beer Tasting', 'Coffee Lovers', 'Food Photography', 'Restaurant Reviews', 'International Cuisine', 'Meditation and Mindfulness', 'Alternative Medicine', 'Fitness Challenges', 'Personal Development', 'Sleep and Relaxation', 'Wellness Retreats', 'Language Learning (e.g. Spanish French Mandarin)', 'Cultural Exchange', 'Translation and Interpretation', 'Linguistics', 'Language Immersion Programs', 'Dialects and Regional Languages', 'Multilingual Communities', 'Language Teaching Resources', 'Parenting', 'Dating and Relationships', 'Home Decor and Interior Design', 'Fashion and Style', 'Personal Finance', 'Minimalism', 'Eco-Friendly Living', 'Urban Living', 'Goal Setting', 'Time Management', 'Productivity Hacks', 'Mindset and Motivation', 'Public Speaking', 'Journaling', 'Coaching and Mentoring', 'Life Skills', 'Web Development', 'Mobile App Development', 'Data Science and Machine Learning', 'Cybersecurity', 'Smartphones and Mobile Devices', 'Computers and Laptops', 'Smart Home Devices', 'Wearable Technology', 'Virtual Reality (VR) and Augmented Reality (AR)', 'Gaming Consoles and Accessories', 'Software and Apps', 'Tech News and Reviews', 'Adventure Travel', 'Cultural Travel', 'Budget Travel', 'Luxury Travel', 'Road Trips', 'Travel Tips and Hacks', 'Travel Photography', 'Destination Reviews']","[3, 4, 5, 2, 6, 7, 8, 9, 10, 13, 12, 11, 15, 14, 16, 18, 21, 19, 23, 26, 27, 28, 29, 36, 35, 39, 40, 41, 42, 44, 47, 49, 51, 57, 22, 60, 52, 64, 67, 68, 69, 59, 34, 62, 74, 56, 75, 38, 78, 79, 83, 88, 91, 92, 96, 100, 103, 104, 105, 106, 98, 107, 32, 130, 131, 132, 152, 163]"
2,,48,female,Nigeria,Sokoto,Illela,"['Non-Fiction Writing', 'Book Clubs', 'Writing Prompts and Challenges', 'Landscaping and Gardening', 'Independent Filmmaking', 'Animation and VFX', 'Cinematography', 'Media Critique and Analysis', 'Nutrition and Diet', 'Mental Health', 'Meditation and Mindfulness', 'Fitness Challenges', 'Personal Development', 'Sleep and Relaxation', 'Specific Fandoms (e.g. Harry Potter Star Wars)', 'Niche Collecting (e.g. rare books vintage items)', 'Unique Hobbies (e.g. urban beekeeping rock balancing)', 'Esoteric Interests (e.g. cryptozoology paranormal)']","[3, 4, 5, 6, 9, 10, 1, 13, 11, 15, 16, 21, 19, 26, 34, 36, 35, 44, 60, 67, 74, 56, 78, 18, 42, 88, 103, 105, 106, 45, 32, 62, 130, 132, 40, 146, 22, 152]"
3,.,36,female,Nigeria,Lagos,Lagos,"['Parenting Support Groups', 'Skincare and Makeup', 'Fashion Trends', 'Personal Styling', 'Screenwriting', 'Video Editing', 'Cinematography', 'Nutrition and Diet']","[4, 5, 6, 7, 8, 2, 9, 10, 1, 13, 15, 14, 16, 19, 26, 29, 34, 36, 39, 44, 47, 51, 58, 59, 65, 64, 67, 69, 74, 56, 41, 78, 79, 92, 103, 105, 106, 98, 32, 129, 130, 131, 132, 40]"
4,Hello World!,31,male,Nigeria,Lagos,Lagos,"['Computers and Laptops', 'Virtual Reality (VR) and Augmented Reality (AR)', 'Gaming Consoles and Accessories', 'Software and Apps', 'Adventure Travel', 'Cultural Travel', 'Budget Travel', 'Luxury Travel', 'Road Trips', 'Travel Tips and Hacks', 'Travel Photography', 'Destination Reviews']","[5, 3, 4, 6, 7, 8, 2, 9, 10, 1, 13, 11, 15, 16, 18, 21, 19, 23, 26, 27, 36, 35, 34, 14, 42, 44, 49, 40, 51, 57, 22, 60, 64, 67, 68, 69, 62, 74, 56, 38, 78, 41, 79, 83, 28, 92, 91, 103, 104, 105, 107, 32, 130, 131, 132, 152, 163]"
5,Finance guy trying to keep up with the jetsetters! (One Spreadsheet at a Time) ✈️💼,31,male,Nigeria,Lagos,Ikeja,"['Literature and Poetry', 'Visual Arts', 'Music and Instrumental', 'Theater and Performing Arts', 'Film and Documentary', 'Cultural Festivals', 'Art Exhibitions', 'Craftsmanship', 'Car Enthusiasts', 'Electric Vehicles', 'Automotive News and Reviews', 'Motorsport', 'Small Business Owners', 'Investment and Venture Capital', 'E-commerce', 'Leadership and Mentoring', 'Movies and TV Shows', 'Music and Concerts', 'Theater and Performing Arts', 'Comedy', 'Celebrity News and Gossip', 'Anime and Manga', 'Podcasts', 'Fan Clubs (e.g. specific bands actors)', 'Skincare and Makeup', 'Personal Styling', 'Fashion Design']","[4, 3, 6, 2, 9, 10, 1, 13, 12, 15, 16, 26, 34, 36, 41, 14, 44, 11, 51, 58, 69, 7, 70, 62, 74, 68, 56, 60, 18, 42, 23, 91, 92, 49, 105, 32, 130, 131, 132, 38]"
6,,31,male,Nigeria,Lagos,Eti-Osa,"['Literature and Poetry', 'Music and Instrumental', 'Film and Documentary', 'Craftsmanship', 'Personal Styling', 'Sustainable Fashion', 'Cooking and Baking', 'Reading and Book Clubs']","[7, 9, 10, 1, 5, 13, 15, 14, 16, 21, 4, 26, 34, 19, 36, 35, 39, 23, 44, 47, 49, 11, 51, 58, 59, 2, 62, 64, 67, 68, 69, 74, 56, 75, 3, 38, 41, 78, 92, 103, 104, 105, 107, 98, 40, 45, 32, 128, 129, 130, 131, 12, 152, 163]"
7,Product Owner @Gopaddi,24,male,Nigeria,Lagos,Eti-Osa,"['Movies and TV Shows', 'Music and Concerts', 'Comedy', 'Cryptocurrency']","[6, 9, 1, 5, 15, 14, 16, 4, 34, 41, 11, 23, 56, 3, 2, 78, 13, 69, 45, 32]"
8,"Backend Architect, GOPADDI",22,male,Nigeria,Osun,Ikirun,"['Small Business Owners', 'Investment and Venture Capital', 'Marketing and Sales']","[9, 1, 5, 6, 10, 15, 14, 16, 4, 27, 34, 44, 42, 36, 56, 3, 78, 40, 101, 32]"
9,,24,male,Nigeria,Lagos,Lekki,"['Music and Concerts', 'Web Development', 'Software Engineering']","[1, 5, 6, 11, 15, 14, 16, 4, 8, 36, 34, 40, 44, 28, 56, 3, 41, 107, 32, 13, 163]"
10,Technology,25,male,Nigeria,Kano,Kano,"['Investment and Venture Capital', 'Marketing and Sales', 'Business Networking']","[1, 5, 6, 2, 11, 15, 16, 4, 34, 39, 41, 13, 35, 44, 40, 36, 56, 3, 74, 26, 78, 28, 91, 60, 32, 12]"
